reportable_comp,subsection,state,formation_yr,assets,liabilities,expenses,revenue,state_median_income,ntee_letter,total_ex_comp_per_company,percent_of_total_ex_comp,voting_memb_ct,voting_indepmemb_ct,employee_tot_ct,volunteer_tot_ct,salaries_expense_tot_curyr,label
200807.0,501(c)(12),ME,1940,45959786,32926854.0,16128926.0,16128926.0,56277,W,200807,1.0,11,11,37,0,1753677,3
93151.0,501(c)(5),ME,1937,1583360,521856.0,2404294.0,3013154.0,56277,J,410827,0.2267402093825381,7,4,22,0,1205249,7
99284.0,501(c)(5),ME,1937,1583360,521856.0,2404294.0,3013154.0,56277,J,410827,0.2416686342426374,7,4,22,0,1205249,7
111331.0,501(c)(5),ME,1937,1583360,521856.0,2404294.0,3013154.0,56277,J,410827,0.2709924128647825,7,4,22,0,1205249,7
107061.0,501(c)(5),ME,1937,1583360,521856.0,2404294.0,3013154.0,56277,J,410827,0.2605987435100419,7,4,22,0,1205249,7
76339.0,501(c)(13),ME,1834,11217080,65897.0,881233.0,1601508.0,56277,Y,76339,1.0,6,6,12,0,450567,8
237594.0,501(c)(3),ME,1917,57596830,12723455.0,51775423.0,51035581.0,56277,E,237594,1.0,9,8,465,32,23740170,3
115778.0,501(c)(6),ME,1937,2042353,333842.0,2457853.0,2413567.0,56277,S,115778,1.0,17,17,70,19,1233771,1
237291.0,501(c)(3),ME,1964,61813387,49500605.0,186390995.0,182294481.0,56277,E,1370434,0.1731502575096648,19,13,776,81,56421035,3
253506.0,501(c)(3),ME,1964,61813387,49500605.0,186390995.0,182294481.0,56277,E,1370434,0.18498227568784775,19,13,776,81,56421035,3
390996.0,501(c)(3),ME,1964,61813387,49500605.0,186390995.0,182294481.0,56277,E,1370434,0.28530815785364344,19,13,776,81,56421035,3
280721.0,501(c)(3),ME,1964,61813387,49500605.0,186390995.0,182294481.0,56277,E,1370434,0.20484094819597296,19,13,776,81,56421035,3
